Complete Genetic Evolution Log
COUNT, GHOST_PROXIMITY_THRESHOLD, HOSTILE_GHOSTS_THRESHOLD, CHASE_THRESHOLD, MIN_DISTANCE, MIN_CLOSE_GHOSTS, GHOSTS_MAX_DISTANCE, AWARENESS_THRESHOLD
GENERATION: 0 Individuals:
   66,   95,   2,   6,   9,   3,  41, 154,  13209.000,   29240,    4200
   67,   75,   2,  83,  87,   3,   1,  66,  13166.000,   29910,    4330
   68,    8,   0,  43,  23,   0,  49, 167,  13133.667,   19750,    4570
   69,   84,   4,  49,  82,   2,  96,  67,  13063.667,   31330,    2880
   70,   89,   0,  57,   4,   3,  68, 111,  13063.333,   24000,    3010
   71,    1,   1,  92,  30,   0,  29,  47,  12943.333,   28980,    3840
   72,   24,   4,   1,  59,   2,  57, 172,  12546.333,   36380,    2350
   73,   18,   0,  56,  69,   1,  80,  55,  12386.333,   21830,    4270
   74,    1,   3,  66,   2,   3,  13,  29,  12355.333,   27830,    4580
   75,   11,   0,   6,  81,   3,   2, 131,  12255.667,   20440,    3280
   76,   71,   0,   3,  99,   1,  31,  60,  12127.333,   16920,    2380
   77,   95,   3,  46,  91,   3,  10, 180,  12069.333,   25850,    5620
   78,    3,   0,  18,  82,   0,  61,  55,  12022.667,   24360,    3530
   79,   10,   0,   5,  80,   4,  40,  94,  11969.667,   24900,    2400
   80,   90,   3,  43,  72,   2,   8, 166,  11864.667,   20070,    3520
   81,   40,   0,  76,  13,   1,  69, 128,  11851.667,   24660,    2760
   82,   28,   2,  23,  35,   4,   1,  35,  11516.000,   43980,    3550
   83,   85,   0,  79,  18,   2,  45,  97,  11425.667,   21600,    3550
   84,   40,   0,  30,  95,   2,  97,  27,  11367.333,   23290,    2600
   85,   20,   3,  76,  89,   3,  53,  22,  10760.667,   20950,    3310
   86,   14,   0,  79,  86,   2,   5,  87,  10544.667,   25980,    2570
   87,   30,   0,  97,  35,   2,  23, 137,  10522.667,   19110,    3540
   88,    2,   4,  35,  31,   0,  85, 136,  10294.667,   27730,    2940
   89,    1,   1,  56,  25,   0,  73,  26,   9948.667,   28290,    1720
   90,   38,   2,  53,  50,   3,  66,   8,   7722.333,   17160,    4140
   91,   61,   4,  91,  15,   3,  60,  13,   6708.667,   20710,    1820
   92,   58,   2,  95,   5,   4,  10,  13,   6561.667,   12570,    3720
   93,   68,   3,   3,  12,   3,  59,  24,   5689.000,   14010,    1680
   94,   38,   1,  76,  40,   4,  49,  15,   5669.333,   11280,    3210
   95,   59,   4,  48,  21,   3,  58,  15,   5399.000,    9760,    1960
   96,   89,   3,  71,   1,   1,  89,   5,   4555.333,    8330,    1710
   97,    8,   4,  98,   8,   2,  89,  11,   2781.333,    6320,    1050
   98,   88,   1,  85,   9,   1,  86,   0,   1518.000,    5750,     200
   99,   22,   4,  21,  73,   2,  85,   3,   1223.667,    6670,     170

GENERATION: 1 Individuals:
    0,   19,   2,  63,  82,   0,  24, 189,  23563.000,   46920,    7860
    1,   19,   2,  63,  82,   0,   6, 178,  19868.334,   40370,    2830
    2,   38,   2,  78,  65,   0,  33, 125,  19665.000,   32460,    4080
    3,   19,   2,  63,  82,   0,  24, 189,  19152.000,   34020,    2500
    4,   19,   3,  84,  53,   1,  43, 193,  18677.666,   46180,    3820
    5,   52,   3,  70,  75,   4,   9, 116,  18136.000,   32180,    5580
    6,   26,   2,  65,  50,   3,  22,  30,  18009.000,   44640,    6050
    7,   26,   2,  27,  81,   4,  30, 194,  17898.334,   37860,    2270
    8,   27,   3,  63,  60,   3,  39,  45,  17826.666,   34990,    7020
    9,   38,   1,  37,  60,   3,  39,  45,  17763.334,   35590,    3600
   10,   18,   1,  32,  75,   4,  56, 125,  17724.334,   30060,    7440
   11,   27,   3,  63,  28,   2,  21,  99,  17648.000,   34580,    3680
   12,   21,   1,  50,  47,   1,  53, 156,  17605.666,   34710,    5850
   13,   21,   1,  50,  97,   2,   3, 156,  17374.334,   37100,    4770
   14,    9,   4,  77,  51,   2,  22, 121,  17084.666,   39080,    4440
   15,   15,   4,  34,  93,   2,  24, 189,  16929.666,   36830,    2630
   16,   18,   1,  18,  21,   0,  77, 174,  16785.334,   42780,    5240
   17,   84,   4,  18,  71,   3,  24,  41,  16649.334,   34950,    2930
   18,    4,   1,  94,  39,   1,  28,  91,  16633.000,   34540,    7180
   19,   18,   1,  32,  80,   4,  48, 125,  16630.666,   32520,    5980
   20,   45,   3,  53,  67,   1,  23,  24,  16573.666,   31550,    4230
   21,   84,   1,  40,  69,   2,  96,  41,  16516.666,   32920,    3920
   22,   88,   4,  27,  81,   4,  30, 194,  16449.334,   27620,    6390
   23,   18,   1,  32,  80,   2,  56, 125,  16379.333,   27390,    4630
   24,   95,   0,  35,   7,   0,   5,  39,  16328.333,   27640,    6500
   25,   32,   1,  80,  65,   0,  33, 125,  16216.000,   38530,    5780
   26,   67,   3,  63,  31,   3,  60,  49,  16178.000,   32790,    6020
