Complete Genetic Evolution Log
COUNT, GHOST_PROXIMITY_THRESHOLD, HOSTILE_GHOSTS_THRESHOLD, CHASE_THRESHOLD, MIN_DISTANCE, MIN_CLOSE_GHOSTS, GHOSTS_MAX_DISTANCE, AWARENESS_THRESHOLD, Fitness, Best Score, Worst Score 
GENERATION: 0
 56,   56,   4,  77,  75,   3,  69, 136,  14400.333,   33950,    5350
 57,   52,   3,  84,  75,   0,   9, 121,  16088.333,   35550,    2450
 58,   56,   3,  84,  75,   0,  69, 136,  12392.667,   26820,    3060
 59,   56,   3,  84,  75,   3,  69, 136,  15139.333,   27370,    5250
 60,    2,   0,  54,  76,   0,  70, 140,  13156.667,   26470,    3780
 61,   77,   1,  91,   5,   4,   0,  44,  17755.334,   33710,    4890
 62,   77,   1,  91,   5,   0,  70, 140,  12989.667,   28470,    4380
 63,    2,   0,  91,   5,   0,  70, 140,  13741.000,   29210,    3510
 64,   41,   2,  12,  43,   4,  20, 180,  16847.000,   30220,    4610
 65,   20,   0,  20,  21,   2,   5,  51,  13771.000,   22830,    3760
 66,   20,   0,  12,  43,   4,  20, 180,  13476.000,   28130,    3250
 67,   41,   0,  20,  21,   2,   5, 180,  12494.667,   22160,    3570
 68,   71,   0,  67,  37,   2,  33, 168,  15358.000,   25510,    3370
 69,   61,   2,   9,  29,   2,  85,  71,  15467.667,   40000,    3780
 70,   71,   0,  67,  29,   2,  85, 168,  11836.000,   20040,    2710
 71,   61,   2,  67,  37,   2,  33, 168,  14185.000,   32380,    4100
 72,   68,   1,  45,  63,   2,  78,  50,  16013.333,   27640,    5050
 73,   68,   3,  64,  73,   4,  58, 101,  14868.667,   31480,    5310
 74,   68,   1,  45,  63,   2,  58, 101,  14354.333,   42870,    3070
 75,   68,   1,  45,  73,   4,  78,  50,  12180.667,   22780,    3860
 76,   52,   3,  84,  53,   4,   9, 116,  14557.333,   30550,    5530
 77,   58,   2,   9,  29,   0,  98, 135,  14164.667,   41190,    4140
 78,   52,   2,   9,  29,   0,   9, 116,  19431.000,   44640,    7860
 79,   58,   2,   9,  29,   4,   9, 116,  15557.000,   39370,    5420
 80,   66,   4,  80,  44,   2,  59, 135,  15562.667,   32790,    6480
 81,   27,   3,  63,  28,   3,  39,  45,  14802.667,   31920,    5630
 82,   27,   3,  63,  28,   3,  39, 135,  13447.333,   26560,    5070
 83,   27,   3,  80,  44,   2,  59, 135,  12167.333,   30150,    4460
 84,    0,   4,  48,  80,   2,  58,  83,  16121.000,   35730,    5720
 85,   84,   0,  41,  39,   2,  20, 180,  14947.000,   27780,    5650
 86,    0,   4,  48,  39,   2,  20,  83,  13939.667,   35600,    2950
 87,   84,   0,  41,  39,   2,  20, 180,  13535.000,   23000,    3330
 88,    5,   1,  31,  24,   1,  90,  82,  13529.000,   35620,    4850
 89,    0,   0,  67,  37,   2,  33, 168,  13963.667,   28580,    5830
 90,    5,   0,  67,  37,   1,  90,  82,  15152.000,   26980,    3660
 91,    5,   0,  67,  37,   2,  33, 168,  14761.667,   25010,    2620
 92,   32,   0,  78,  62,   0,  33, 120,  14916.000,   25400,    3420
 93,   84,   4,  40,  69,   3,  24,  41,  14485.667,   28980,    3880
 94,   32,   4,  40,  69,   3,  24, 120,  19493.334,   34720,    6440
 95,   32,   0,  40,  69,   3,  33, 120,  13587.333,   25830,    3510
 96,    9,   4,  77,  51,   2,  22, 121,  15211.667,   30340,    4840
 97,   34,   3,  10,   3,   1,  13, 177,  15207.667,   28360,    3030
 98,   34,   3,  77,  51,   2,  22, 121,  19469.334,   47330,    4830
 99,    9,   3,  10,   3,   1,  22, 121,  13092.333,   23940,    1710
GENERATION: 2 Statistics:
Avg. fitness: 15776.923
Worst fitness: 11293.0 Worst_Best: 27630.0 Worst_Worst: 4080.0
Best fitness: 20858.666 Best_Best: 49990.0 Best_Worst: 3130.0

  0,   19,   2,  63,  82,   0,  24, 189,  22700.000,   51260,    5380
  1,   19,   3,  78,  65,   0,  35, 120,  20118.666,   40110,    4340
  2,   19,   2,  63,  82,   0,  35, 189,  23360.000,   52070,    7730
  3,   19,   3,  78,  65,   0,  24, 189,  21063.000,   44810,    6190
  4,   18,   1,  32,  80,   4,  48, 125,  14842.333,   29840,    3000
  5,   19,   2,  63,  82,   0,  24, 184,  20785.666,   39650,    6230
  6,   19,   2,  32,  80,   4,  48, 125,  17638.334,   32570,    6760
  7,   18,   1,  63,  82,   0,  24, 125,  20681.334,   35830,    5790
  8,   22,   0,  65,  82,   0,   6, 189,  12091.667,   24240,    3120
  9,   32,   1,  80,  65,   0,  33, 125,  19178.000,   39720,    5720
 10,   32,   1,  80,  82,   0,   6, 189,  17269.000,   34240,    3850
 11,   22,   1,  80,  82,   0,   6, 189,  18187.666,   30980,    3840
 12,   29,   4,  40,  69,   4,  22, 120,  13427.000,   31250,    3380
 13,   34,   3,  77,  51,   2,  22, 121,  19932.334,   43130,    4900
 14,   29,   4,  77,  51,   4,  22, 120,  15340.667,   43950,    4280
